,beta0,beta1,value
128,0.01,0.27,-0.5366260287039876
129,0.01,0.28,-0.5341559073563197
130,0.01,0.29,-0.5311824011614655
131,0.01,0.3,-0.5281087478750996
132,0.01,0.31,-0.5238155140013763
133,0.01,0.32,-0.5197113962664235
134,0.01,0.33,-0.5146582334389049
135,0.01,0.34,-0.5082866746484106
136,0.01,0.35000000000000003,-0.5007678840161478
137,0.01,0.36,-0.4931282841905533
138,0.01,0.37,-0.4836819843002247
139,0.01,0.38,-0.47391218085191505
140,0.01,0.39,-0.4656455284848298
141,0.01,0.4,-0.455119630938108
142,0.01,0.41000000000000003,-0.4433778253612658
143,0.01,0.42,-0.4317598355223543
144,0.01,0.43,-0.4201927236599393
145,0.01,0.44,-0.40716634999434637
146,0.01,0.45,-0.3956790509038852
147,0.01,0.46,-0.3828059065473322
148,0.01,0.47000000000000003,-0.3694471229301974
149,0.01,0.48,-0.3548347521645548
150,0.01,0.49,-0.34050103700526135
151,0.01,0.5,-0.32531079058326084
152,0.01,0.51,-0.3115208961410284
153,0.01,0.52,-0.2970832314721779
154,0.01,0.53,-0.2829649309611209
155,0.01,0.54,-0.2690210601218617
156,0.01,0.55,-0.2551910510582768
157,0.01,0.56,-0.24352705970065286
158,0.01,0.5700000000000001,-0.23260304058598386
159,0.01,0.58,-0.22029965820462594
160,0.01,0.59,-0.209356997044044
161,0.01,0.6,-0.19960536172336296
162,0.01,0.61,-0.18908889996423403
163,0.01,0.62,-0.1790078861727301
164,0.01,0.63,-0.16856659271483435
165,0.01,0.64,-0.15992972977724565
166,0.01,0.65,-0.15267725208003913
167,0.01,0.66,-0.1456088169382394
168,0.01,0.67,-0.13844037298850334
169,0.01,0.68,-0.13263728350493992
170,0.01,0.6900000000000001,-0.1269858822259515
171,0.01,0.7000000000000001,-0.1226908357429445
172,0.01,0.71,-0.11902130595251069
173,0.01,0.72,-0.11592905631879516
174,0.01,0.73,-0.11400269817246309
175,0.01,0.74,-0.1128835630119991
176,0.01,0.75,-0.11240297565306287
177,0.01,0.76,-0.11240297565306287
178,0.01,0.77,-0.11240297565306287
179,0.01,0.78,-0.11240297565306287
180,0.01,0.79,-0.11240297565306287
181,0.01,0.8,-0.11240297565306287
182,0.01,0.81,-0.11240297565306287
183,0.01,0.8200000000000001,-0.11240297565306287
184,0.01,0.8300000000000001,-0.11240297565306287
185,0.01,0.84,-0.11240297565306287
186,0.01,0.85,-0.11240297565306287
187,0.01,0.86,-0.11240297565306287
188,0.01,0.87,-0.11240297565306287
189,0.01,0.88,-0.11240297565306287
190,0.01,0.89,-0.11240297565306287
191,0.01,0.9,-0.11240297565306287
192,0.01,0.91,-0.11240297565306287
193,0.01,0.92,-0.11240297565306287
194,0.01,0.93,-0.11240297565306287
195,0.01,0.9400000000000001,-0.11240297565306287
196,0.01,0.9500000000000001,-0.11240297565306287
197,0.01,0.96,-0.11240297565306287
198,0.01,0.97,-0.11240297565306287
199,0.01,0.98,-0.11240297565306287
200,0.01,0.99,-0.11240297565306287
201,0.01,1.0,-0.11240297565306287
202,0.02,0.0,-0.33702187068815065
203,0.02,0.01,-0.33702187068815065
204,0.02,0.02,-0.33702187068815065
205,0.02,0.03,-0.35015492469859
206,0.02,0.04,-0.3632325817876738
207,0.02,0.05,-0.37591166289330535
208,0.02,0.06,-0.3874876650441589
209,0.02,0.07,-0.3995884484804202
210,0.02,0.08,-0.4125067839852289
211,0.02,0.09,-0.42377128607080305
212,0.02,0.1,-0.43477059345686914
213,0.02,0.11,-0.44488297106510283
214,0.02,0.12,-0.4546352092108943
215,0.02,0.13,-0.46515828288160854
216,0.02,0.14,-0.47505634203911506
217,0.02,0.15,-0.48318395491724675
218,0.02,0.16,-0.4914070848340637
219,0.02,0.17,-0.4986839428290535
220,0.02,0.18,-0.504713669653803
221,0.02,0.19,-0.5103383247603137
222,0.02,0.2,-0.5148147156827044
223,0.02,0.21,-0.5185002081236358
224,0.02,0.22,-0.521556698332529
225,0.02,0.23,-0.5236403400194396
226,0.02,0.24,-0.5247290136431391
227,0.02,0.25,-0.5251089993910526
228,0.02,0.26,-0.5246719979804125
229,0.02,0.27,-0.5233850720839293
230,0.02,0.28,-0.5209149507362614
231,0.02,0.29,-0.5179414445414073
232,0.02,0.3,-0.5148677912550412
233,0.02,0.31,-0.5105745573813181
234,0.02,0.32,-0.5064704396463652
235,0.02,0.33,-0.5014172768188466
236,0.02,0.34,-0.49504571802835245
237,0.02,0.35000000000000003,-0.48752692739608955
238,0.02,0.36,-0.479887327570495
239,0.02,0.37,-0.4704410276801664
240,0.02,0.38,-0.46067122423185686
241,0.02,0.39,-0.4524045718647715
242,0.02,0.4,-0.4418786743180497
243,0.02,0.41000000000000003,-0.4301368687412076
244,0.02,0.42,-0.418518878902296
245,0.02,0.43,-0.406951767039881
246,0.02,0.44,-0.3939253933742881
247,0.02,0.45,-0.38243809428382697
248,0.02,0.46,-0.36956494992727396
249,0.02,0.47000000000000003,-0.35620616631013907
250,0.02,0.48,-0.34159379554449654
251,0.02,0.49,-0.32726008038520304
252,0.02,0.5,-0.31206983396320254
253,0.02,0.51,-0.29827993952097015
254,0.02,0.52,-0.28384227485211966
255,0.02,0.53,-0.2697239743410626
256,0.02,0.54,-0.2557801035018034
257,0.02,0.55,-0.24195009443821855
258,0.02,0.56,-0.23028610308059455
259,0.02,0.5700000000000001,-0.21936208396592552
260,0.02,0.58,-0.20705870158456768
261,0.02,0.59,-0.19611604042398573
262,0.02,0.6,-0.18636440510330468
263,0.02,0.61,-0.17584794334417578
264,0.02,0.62,-0.1657669295526718
265,0.02,0.63,-0.15532563609477607
266,0.02,0.64,-0.14668877315718737
267,0.02,0.65,-0.13943629545998085
268,0.02,0.66,-0.1323678603181811
269,0.02,0.67,-0.12519941636844503
270,0.02,0.68,-0.11939632688488164
271,0.02,0.6900000000000001,-0.11374492560589322
272,0.02,0.7000000000000001,-0.1094498791228862
273,0.02,0.71,-0.1057803493324524
274,0.02,0.72,-0.10268809969873686
275,0.02,0.73,-0.10076174155240478
276,0.02,0.74,-0.09964260639194081
277,0.02,0.75,-0.09916201903300459
278,0.02,0.76,-0.09916201903300459
